


Company:;
SerialNumber:;
ManufacturerID:;
Project:;Super Tech Project
AttendantName:;
AttendantMail:;
UserName:;
UserMail:;
UserLogin:;SuperTechLogin
Description0:;Cool measurements
Configuration application:;V66.66.66
ConfigurationFile:;/path/to/cool/configfile
ConfigurationFileCreation:;2012-07-11 12:43:24


\Data:
Time_100Hz;P_cyl;F_cyl;L_cyl;Fc1_cal;Fc2_cal;
;11447746;11410572;11120448;11410106;11410098;
(s);(bar);(uN);(m);(mN);(mN);

       0.00000000;       0.00152418;       0.06144573;      -0.00518103;      -0.06141877;       0.06035087;
       0.01000000;       0.00091451;       0.05788365;      -0.00518103;      -0.04252069;       0.06963562;
       0.02000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.07892037;
       0.03000000;       0.00213385;       0.05966469;      -0.00518103;      -0.06141877;       0.06963562;
       0.04000000;       0.00213385;       0.05788365;      -0.00518103;      -0.06141877;       0.06035087;
       0.05000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.06035087;
       0.06000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.04178137;
       0.07000000;       0.00152418;       0.06144573;      -0.00518103;      -0.04252069;       0.06963562;
       0.08000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.06035087;
       0.09000000;       0.00152418;       0.05610262;      -0.00518103;      -0.05196973;       0.06035087;
       0.10000000;       0.00213385;       0.06322676;      -0.00518103;      -0.07086782;       0.07892037;
       0.11000000;       0.00152418;       0.05788365;      -0.00518103;      -0.04252069;       0.05106612;
       0.12000000;       0.00152418;       0.06144573;      -0.00518103;      -0.06141877;       0.06963562;
       0.13000000;       0.00091451;       0.05788365;      -0.00518103;      -0.07086782;       0.06035087;
       0.14000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.07892037;
       0.15000000;       0.00152418;       0.05788365;      -0.00518103;      -0.05196973;       0.06963562;
       0.16000000;       0.00152418;       0.05610262;      -0.00518103;      -0.07086782;       0.06963562;
       0.17000000;       0.00091451;       0.05966469;      -0.00518103;      -0.07086782;       0.04178137;
       0.18000000;       0.00213385;       0.05788365;      -0.00518103;      -0.05196973;       0.06963562;
       0.19000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.05106612;
       0.20000000;       0.00213385;       0.05966469;      -0.00518103;      -0.04252069;       0.05106612;
       0.21000000;       0.00091451;       0.06144573;      -0.00518103;      -0.06141877;       0.06035087;
       0.22000000;       0.00091451;       0.05788365;      -0.00518103;      -0.06141877;       0.04178137;
       0.23000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.07892037;
       0.24000000;       0.00152418;       0.05610262;      -0.00011788;      -0.05196973;       0.06963562;
       0.25000000;       0.00152418;       0.05966469;      -0.00518103;      -0.08976590;       0.06963562;
       0.26000000;       0.00213385;       0.05788365;      -0.00518103;      -0.05196973;       0.06035087;
       0.27000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.07892037;
       0.28000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.07892037;
       0.29000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.07892037;
       0.30000000;       0.00091451;       0.05788365;      -0.00518103;      -0.05196973;       0.06963562;
       0.31000000;       0.00213385;       0.05966469;      -0.00518103;      -0.07086782;       0.06035087;
       0.32000000;       0.00091451;       0.05788365;      -0.00518103;      -0.08976590;       0.07892037;
       0.33000000;       0.00091451;       0.06322676;      -0.00518103;      -0.08031686;       0.06963562;
       0.34000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.06963562;
       0.35000000;       0.00091451;       0.05966469;      -0.00518103;      -0.06141877;       0.07892037;
       0.36000000;       0.00152418;       0.06144573;      -0.00518103;      -0.06141877;       0.06963562;
       0.37000000;       0.00213385;       0.05788365;      -0.00518103;      -0.07086782;       0.07892037;
       0.38000000;       0.00213385;       0.06144573;      -0.00518103;      -0.06141877;       0.06035087;
       0.39000000;       0.00091451;       0.05966469;      -0.00518103;      -0.07086782;       0.07892037;
       0.40000000;       0.00152418;       0.05610262;      -0.00518103;      -0.06141877;       0.06963562;
       0.41000000;       0.00152418;       0.05966469;      -0.00011788;      -0.06141877;       0.06963562;
       0.42000000;       0.00091451;       0.06144573;      -0.00518103;      -0.07086782;       0.06963562;
       0.43000000;       0.00213385;       0.05610262;      -0.00518103;      -0.07086782;       0.05106612;
       0.44000000;       0.00213385;       0.05610262;      -0.00518103;      -0.06141877;       0.06963562;
       0.45000000;       0.00091451;       0.06144573;      -0.00518103;      -0.06141877;       0.03249662;
       0.46000000;       0.00152418;       0.05788365;      -0.00518103;      -0.08976590;       0.06035087;
       0.47000000;       0.00091451;       0.05788365;      -0.00518103;      -0.04252069;       0.06035087;
       0.48000000;       0.00213385;       0.05966469;      -0.00518103;      -0.05196973;       0.06963562;
       0.49000000;       0.00091451;       0.06144573;      -0.00518103;      -0.05196973;       0.06963562;
       0.50000000;       0.00213385;       0.05966469;      -0.00518103;      -0.08031686;       0.07892037;
       0.51000000;       0.00091451;       0.05610262;      -0.00518103;      -0.08031686;       0.07892037;
       0.52000000;       0.00213385;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       0.53000000;       0.00091451;       0.05610262;      -0.00518103;      -0.05196973;       0.06035087;
       0.54000000;       0.00213385;       0.05432158;      -0.00518103;      -0.06141877;       0.06963562;
       0.55000000;       0.00152418;       0.06144573;      -0.00518103;      -0.08031686;       0.07892037;
       0.56000000;       0.00152418;       0.05966469;      -0.00011788;      -0.05196973;       0.07892037;
       0.57000000;       0.00213385;       0.06144573;      -0.00518103;      -0.05196973;       0.05106612;
       0.58000000;       0.00152418;       0.05610262;      -0.00518103;      -0.07086782;       0.06963562;
       0.59000000;       0.00152418;       0.06144573;      -0.00518103;      -0.06141877;       0.06035087;
       0.60000000;       0.00152418;       0.05788365;      -0.00518103;      -0.05196973;       0.05106612;
       0.61000000;       0.00091451;       0.05788365;      -0.00518103;      -0.07086782;       0.05106612;
       0.62000000;       0.00213385;       0.06144573;      -0.00518103;      -0.07086782;       0.07892037;
       0.63000000;       0.00152418;       0.05432158;      -0.00518103;      -0.05196973;       0.06035087;
       0.64000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.06963562;
       0.65000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.08820512;
       0.66000000;       0.00152418;       0.05966469;      -0.00011788;      -0.08976590;       0.06963562;
       0.67000000;       0.00152418;       0.05788365;      -0.00518103;      -0.07086782;       0.06035087;
       0.68000000;       0.00274352;       0.05966469;      -0.00518103;      -0.05196973;       0.06963562;
       0.69000000;       0.00091451;       0.05788365;      -0.00518103;      -0.07086782;       0.07892037;
       0.70000000;       0.00213385;       0.05610262;      -0.00518103;      -0.06141877;       0.08820512;
       0.71000000;       0.00152418;       0.05610262;      -0.00518103;      -0.05196973;       0.06035087;
       0.72000000;       0.00152418;       0.05966469;      -0.00518103;      -0.08031686;       0.06963562;
       0.73000000;       0.00213385;       0.05788365;      -0.00518103;      -0.08976590;       0.06035087;
       0.74000000;       0.00091451;       0.05788365;      -0.00518103;      -0.05196973;       0.07892037;
       0.75000000;       0.00091451;       0.05432158;      -0.00518103;      -0.05196973;       0.06963562;
       0.76000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.04178137;
       0.77000000;       0.00152418;       0.05788365;      -0.00518103;      -0.08031686;       0.06963562;
       0.78000000;       0.00152418;       0.05610262;      -0.00518103;      -0.04252069;       0.06035087;
       0.79000000;       0.00152418;       0.05610262;      -0.00518103;      -0.05196973;       0.06035087;
       0.80000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.05106612;
       0.81000000;       0.00152418;       0.06322676;      -0.00518103;      -0.07086782;       0.04178137;
       0.82000000;       0.00152418;       0.05432158;      -0.00518103;      -0.08031686;       0.06963562;
       0.83000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       0.84000000;       0.00213385;       0.05788365;      -0.00518103;      -0.05196973;       0.07892037;
       0.85000000;       0.00152418;       0.06144573;      -0.00518103;      -0.04252069;       0.07892037;
       0.86000000;       0.00213385;       0.05788365;      -0.00518103;      -0.04252069;       0.06963562;
       0.87000000;       0.00152418;       0.05966469;      -0.00518103;      -0.06141877;       0.05106612;
       0.88000000;       0.00213385;       0.05610262;      -0.00518103;      -0.07086782;       0.07892037;
       0.89000000;       0.00152418;       0.06322676;      -0.00518103;      -0.07086782;       0.06963562;
       0.90000000;       0.00213385;       0.05966469;      -0.00518103;      -0.08976590;       0.06963562;
       0.91000000;       0.00091451;       0.05610262;      -0.00518103;      -0.07086782;       0.07892037;
       0.92000000;       0.00152418;       0.05610262;      -0.00518103;      -0.06141877;       0.06963562;
       0.93000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
