Data info
File name: filename
Start time: 2012-11-05 15:33:41.335
Number of channels: 3
Sample rate: 520
Reduced rate: 0,025


Data1

Time [s]	Quantity1 - 12345678;  [qunit]	Distance - 12345678;  [mm]	Stresslevel& - 12345678;  [kLevel]	
0	3,4072436E-6	-0,11937809	10,908116
0,025	0,00047437474	-0,11950521	10,907247
0,05	0,0002212855	-0,11979707	10,906949
0,075	0,00024109241	-0,11973539	10,907812
0,1	0,00044209743	-0,11984221	10,907294
0,125	0,00029647816	-0,11964513	10,908165
0,15	2,8715935E-5	-0,11988132	10,907154
0,175	0,00039074547	-0,11975946	10,907419
0,2	4,8522837E-5	-0,11982942	10,907631
0,225	0,00023668958	-0,11990239	10,907264
0,25	0,00039881538	-0,11995203	10,907033
0,275	0,00018497091	-0,11989336	10,907293
0,3	0,00013288669	-0,11961053	10,907379
0,325	0,00035626674	-0,11961955	10,907468
0,35	-0,00037219515	-0,11993624	10,90784
0,375	-0,00024638278	-0,11939238	10,907491
0,4	0,00025759777	-0,11933446	10,907212
0,425	0,00038744393	-0,11936304	10,908127
0,45	9,8041259E-5	-0,11975796	10,907416
0,475	0,00021358114	-0,11919229	10,907969
0,5	0,0002997797	-0,11900724	10,907335
0,525	-1,2364704E-5	-0,11909375	10,908047
0,55	0,00021284772	-0,11910579	10,907146
0,575	-5,2346382E-5	-0,11905388	10,907231
0,6	-0,00016091764	-0,11916746	10,908056
0,625	0,00019560894	-0,11920959	10,908028
0,65	6,0627703E-5	-0,11905087	10,907362
0,675	0,00025833119	-0,11932844	10,907578
0,7	0,00044356426	-0,11948866	10,907709
0,725	0,00032508839	-0,11904185	10,907723
0,75	-0,00014514569	-0,11905764	10,907528
0,775	5,3291209E-5	-0,11873344	10,907921
0,8	-0,0001513809	-0,11867326	10,907745
0,825	5,9526414E-5	-0,11893879	10,907399
0,85	0,00024879444	-0,11866874	10,907736
0,875	-0,00029113283	-0,11882972	10,908146
0,9	0,0006133921	-0,11884476	10,907613
0,925	0,00038927863	-0,1193999	10,906919
0,95	0,00050738663	-0,11900273	10,907409
0,975	7,3831528E-5	-0,11925096	10,907628
1	6,8697613E-5	-0,11910954	10,907701
1,025	0,00028987508	-0,11910202	10,907992
1,05	0,00024072453	-0,11931641	10,907981
1,075	0,00035810145	-0,11924645	10,908471
1,1	0,00068161613	-0,11952928	10,908123
1,125	0,00051618996	-0,11951198	10,907623
1,15	0,00030344678	-0,11931791	10,907627
1,175	-9,5261727E-5	-0,11962557	10,907908
1,2	0,00034782896	-0,11907946	10,908007
1,225	0,00034342846	-0,1193841	10,907445
1,25	-0,00035642087	-0,11943074	10,907864
1,275	-2,6669819E-5	-0,11928631	10,908134
1,3	0,0002799728	-0,11939915	10,907356
1,325	-0,00016128551	-0,11911481	10,908071
1,35	0,00032325368	-0,11912985	10,907754
1,375	0,00034709554	-0,11910804	10,907722
1,4	9,6206553E-5	-0,11908998	10,908446
1,425	0,00032802206	-0,11905915	10,908444
1,45	0,00045860279	-0,11911782	10,908639
1,475	0,00019377423	-0,1194488	10,908633
1,5	0,00014462369	-0,11997686	10,908215
1,525	-0,00022694143	-0,11945707	10,908204
1,55	0,00023815641	-0,1196376	10,908369
1,575	-5,0511677E-5	-0,1198926	10,907518
1,6	0,00043182727	-0,11990013	10,908464
1,625	0,00021431455	-0,12015814	10,908834
1,65	6,832974E-5	-0,11999265	10,908174
1,675	0,00033682538	-0,11997159	10,908558
1,7	0,00036727032	-0,12006186	10,908883
1,725	-0,00033624843	-0,11998889	10,90879
1,75	7,4421987E-6	-0,11992119	10,908698
1,775	0,00030234782	-0,12013633	10,908378
1,8	0,00046557258	-0,11992496	10,908484
1,825	0,00016846554	-0,11971357	10,908401
1,85	0,00012921961	-0,12008066	10,908817
1,875	0,00022715284	-0,11980385	10,90925
1,9	0,00035479991	-0,12020026	10,907536
1,925	0,00013765506	-0,12004455	10,909147
1,95	-0,00021630572	-0,12003703	10,908715
1,975	8,3368272E-5	-0,12017845	10,909153
2	-2,226932E-5	-0,11996031	10,908947
2,025	1,7344486E-5	-0,12001221	10,908598
2,05	0,00018130383	-0,12022208	10,909464
2,075	9,0704765E-5	-0,12043721	10,908623
2,1	0,00093764137	-0,12003327	10,908814
2,125	-6,6651497E-5	-0,12001447	10,908772
2,15	0,00029207766	-0,11995579	10,908723
2,175	-0,00015248219	-0,11972035	10,908774
2,2	0,00026163273	-0,12023336	10,909253
2,225	-7,9489779E-5	-0,1199099	10,909362
2,25	0,00035443204	-0,11983393	10,909287
2,275	0,00021688268	-0,11980159	10,909516
2,3	0,00061742589	-0,12006938	10,910006
2,325	-4,3177512E-5	-0,12062377	10,909065
2,35	-6,7752786E-5	-0,120028	10,909093
2,375	-5,784817E-5	-0,11975119	10,909522
2,4	0,00021028193	-0,1198565	10,909678
2,425	9,2539471E-5	-0,11985349	10,910393
2,45	0,0001996439	-0,11980535	10,90967
2,475	0,00031995447	-0,11955336	10,909221
2,5	-0,00034431834	-0,11943601	10,908795
2,525	0,00013508694	-0,11894481	10,909241
2,55	-8,0956612E-5	-0,11944428	10,909608
2,575	-2,0945445E-6	-0,11925021	10,909716
2,6	-0,0002181381	-0,11930813	10,909493
2,625	0,00060018711	-0,11953079	10,909163
2,65	0,00022458704	-0,11875074	10,909256
2,675	0,00017983699	-0,11974593	10,909378
2,7	-7,4353535E-5	-0,11912008	10,90949
2,725	0,00054039853	-0,11959623	10,909501
2,75	0,00025172811	-0,11925924	10,909069
2,775	0,00023779087	-0,11896136	10,910158
2,8	2,1379441E-5	-0,11911556	10,909665
2,825	0,00019560894	-0,1194661	10,909697
2,85	4,6688132E-5	-0,11915016	10,908895
2,875	0,00021871738	-0,11916972	10,909234
2,9	-0,00047599804	-0,1190095	10,909678
2,925	9,693997E-5	-0,11937658	10,909517
2,95	0,00031591952	-0,11906892	10,909055
2,975	0,00029207766	-0,11884702	10,909003
3	0,00048537948	-0,11912233	10,909308
3,025	0,00032435497	-0,11930286	10,908922
3,05	0,00044466439	-0,11941043	10,908623
3,075	0,00028657587	-0,11910202	10,9093
3,1	-2,9605813E-5	-0,11896286	10,909248
3,125	0,00031921873	-0,11969101	10,909198
3,15	0,00021284772	-0,11930061	10,909362
3,175	-2,9971357E-5	-0,11960074	10,909603
3,2	-1,7290004E-6	-0,11915317	10,910033
3,225	0,00029207766	-0,11970681	10,909444
3,25	0,0003375588	-0,11923366	10,909822
3,275	5,5859331E-5	-0,11949994	10,909034
3,3	0,00034782896	-0,11901928	10,909277
3,325	0,00036176853	-0,11917348	10,90935
3,35	-0,00033331243	-0,11984822	10,909199
3,375	8,8136643E-5	-0,12001823	10,909987
3,4	0,00043219398	-0,11947888	10,909603
3,425	0,00012151524	-0,11920733	10,909691
3,45	5,5125915E-5	-0,11831143	10,910164
3,475	0,00043072598	-0,11921787	10,909475
3,5	0,00031408481	-0,11916145	10,909539
3,525	-0,00024381466	-0,1188252	10,909353
3,55	0,00020331098	-0,11898919	10,909671
3,575	0,00016003009	-0,11916295	10,909616
3,6	2,2846274E-5	-0,11920132	10,909474
3,625	-0,0001711878	-0,11925021	10,909844
3,65	7,9701189E-5	-0,1196015	10,909898
3,675	0,00037203869	-0,11942849	10,910815
3,7	-0,00020420086	-0,1196203	10,910599
3,725	-0,00012423983	-0,11950446	10,911095
3,75	0,000405784	-0,12002124	10,910894
3,775	4,0087383E-5	-0,11988433	10,910922
3,8	8,9090317E-6	-0,11938636	10,910481
3,825	2,2846274E-5	-0,11909751	10,910162
3,85	2,8348062E-5	-0,11930061	10,910676
3,875	-0,00014661252	-0,11930963	10,910622
3,9	0,00015929667	-0,11989336	10,91
3,925	0,00045640254	-0,12018597	10,895945
3,95	0,00023448933	-0,1177232	10,634411
3,975	-4,060939E-5	-0,084501356	10,240975
4	0,00010097492	0,05263982	10,189222
4,025	0,00085914601	0,20488259	10,176824
4,05	0,00071646157	0,38367501	10,156384
4,075	0,00093874149	0,44523677	10,133286
4,1	0,00047694286	0,59150463	10,111391
4,125	0,00049124798	0,71776193	10,089831
4,15	0,00096698501	0,80929673	10,067701
4,175	0,0008316359	1,0281314	10,046417
4,2	0,00096221664	1,2312055	10,025338
4,225	0,0010344756	1,273876	10,003939
4,25	0,001266659	1,3523206	9,9825544
4,275	0,00092883804	1,5679327	9,9608698
4,3	0,00079165539	1,7189832	9,9390774
4,325	0,00090903114	1,8015726	9,9186249
4,35	0,0011129698	1,8689971	9,897584
4,375	0,0010718892	2,0566628	9,8765306
4,4	0,0010344756	2,2344637	9,8556232
4,425	0,00085474434	2,2845075	9,8352041
4,45	0,00088812294	2,4933331	9,8155031
4,475	0,00086208084	2,6385207	9,7955503
4,5	0,0013396514	2,7708049	9,7755966
4,525	0,0009666183	2,8536694	9,7561522
4,55	0,0012255772	2,9827266	9,7362251
4,575	0,00072819972	3,1393616	9,7174969
4,6	0,0011309432	3,2573099	9,6978416
4,625	0,0010076989	3,3833053	9,6789465
4,65	0,0010110005	3,5283802	9,6597252
4,675	0,00053489674	3,6246073	9,6411877
4,7	0,00080742734	3,7163408	9,6226006
4,725	0,00048867986	3,8603849	9,6038771
4,75	0,00060238736	4,0369239	9,5852547
4,775	0,00084410748	4,1838431	9,5667534
4,8	0,00086208084	4,2620335	9,5485411
4,825	0,00075167487	4,4749422	9,5302105
4,85	0,000692253	4,5521049	9,5120602
4,875	0,001300771	4,6329145	9,4944344
4,9	0,00080339238	4,8360896	9,4766197
4,925	0,0010689544	4,936213	9,4586658
4,95	0,00067574764	5,0695786	9,440177
4,975	0,00095194648	5,1890812	9,4225111
5	0,00069408771	5,339951	9,4048262
5,025	0,00099192699	5,4158306	9,3876038
5,05	0,00085914601	5,6497083	9,3714409
5,075	0,00067538093	5,7401118	9,355195
5,1	0,00067611434	5,8767028	9,3397141
5,125	0,00088812294	6,1004314	9,3255863
5,15	0,0011269082	6,1257906	9,3124657
5,175	0,0012673924	6,2977948	9,300355
5,2	0,00095524685	6,38835	9,2888527
5,225	0,0008195322	6,491859	9,2770672
5,25	0,0011481831	6,6563048	9,265399
5,275	0,0012072371	6,8337688	9,2544832
5,3	0,00083200261	6,8949833	9,2433653
5,325	0,00062806392	7,0512691	9,2318544
5,35	0,00050371955	7,2085795	9,2198191
5,375	0,00084043923	7,351903	9,208251
5,4	0,0008862894	7,4162664	9,1964827
5,425	0,001039244	7,5795312	9,1854639
5,45	0,0010238388	7,6993012	9,1736679
5,475	0,0010095336	7,8829036	9,1621714
5,5	0,00076084491	7,990766	9,1504097
5,525	0,00067501422	8,1459789	9,1387234
5,55	0,0010414443	8,2306557	9,1275043
5,575	0,0009134328	8,2873669	9,1151428
5,6	0,00092626992	8,4727211	9,1034355
5,625	0,00032838993	8,6975698	9,0918446
5,65	0,00095047848	8,8192101	9,0801973
5,675	0,0010821593	8,9647694	9,0688744
5,7	0,00058294716	9,014327	9,0558729
5,725	0,00044026272	9,2213335	9,0438662
5,75	0,0011067346	9,327508	9,0319204
5,775	0,00071242661	9,4457016	9,0198278
5,8	0,00080889533	9,5363693	9,0080986
5,825	0,00085731247	9,694416	8,9958105
5,85	0,00062219426	9,8122044	8,9835567
5,875	0,0011756932	9,9466915	8,9717846
5,9	0,00089289132	10,157418	8,9589272
5,925	0,0010667541	10,252388	8,9467049
5,95	0,00096184993	10,330777	8,9344082
5,975	0,0009468114	10,421547	8,9218445
6	0,00064640399	10,650619	8,9092169
6,025	0,00039844867	10,781028	8,8970013
6,05	0,0010729893	10,933892	8,8840208
6,075	0,00082613411	11,011289	8,8712664
6,1	0,00047290791	11,154704	8,8584299
6,125	0,00089032436	11,290932	8,8456964
6,15	0,00069261971	11,438493	8,8334332
6,175	0,001386235	11,585716	8,8202162
6,2	0,0010410775	11,637629	8,8069315
6,225	0,0011305765	11,808274	8,7938318
6,25	0,00055800518	11,874376	8,7812853
6,275	0,00035333307	12,007124	8,7689905
6,3	0,00099046016	12,128324	8,7562246
6,325	0,00069371983	12,364876	8,7435703
6,35	0,0013132414	12,511673	8,7305212
6,375	0,00040138233	12,620825	8,717907
6,4	0,00089435931	12,684869	8,7058172
6,425	0,0011199396	12,797004	8,6927786
6,45	0,00048134453	12,962282	8,6799612
6,475	0,00094204303	13,125478	8,6671829
6,5	0,00062512909	13,221699	8,6535139
6,525	0,00088812294	13,346619	8,6402636
6,55	0,00075864349	13,581537	8,6277142
6,575	0,00086794933	13,678307	8,6147823
6,6	0,00092957146	13,810128	8,6021366
6,625	0,0011958668	13,967857	8,5898418
6,65	0,00069848821	14,073647	8,5766716
6,675	0,0011302098	14,160507	8,563447
6,7	0,00083090249	14,262123	8,5507717
6,725	0,00076084491	14,476494	8,5383339
6,75	0,00055397023	14,574689	8,5260305
6,775	0,00092296954	14,749147	8,5132151
6,8	0,0011789936	14,83642	8,5005102
6,825	0,00063723396	14,917886	8,488059
6,85	0,00079165539	15,098728	8,4753847
6,875	0,0010480473	15,28598	8,4633942
6,9	0,0010583175	15,353413	8,4506254
6,925	0,00084117264	15,474746	8,4378452
6,95	0,0010759241	15,723478	8,4251194
6,975	0,00060238736	15,777535	8,4123259
7	0,0008254007	15,88019	8,3999844
7,025	0,0012369475	16,02462	8,3875608
7,05	0,00068968604	16,154663	8,3748455
7,075	0,00071609486	16,282314	8,3621159
7,1	0,00045163417	16,425074	8,3490438
7,125	0,0011738585	16,57354	8,337081
7,15	0,0010337422	16,644852	8,3236551
7,175	0,00069702137	16,88105	8,3109303
7,2	0,00094314315	16,905338	8,2979851
7,225	0,0010872944	17,000319	8,2860107
7,25	0,0003724054	17,201939	8,2736979
7,275	0,0006801493	17,381544	8,2604647
7,3	0,0010806925	17,432398	8,2475109
7,325	0,00099669537	17,615366	8,2342386
7,35	0,00040871883	17,79818	8,2217503
7,375	0,0011701903	17,837706	8,208209
7,4	0,00093874149	17,910633	8,1948719
7,425	0,00092406967	18,008093	8,1825523
7,45	0,00078725372	18,211777	8,1687946
7,475	0,00065043778	18,452997	8,1558495
7,5	0,001257489	18,566097	8,1435232
7,525	0,00045530125	18,671782	8,1313114
7,55	0,0006999562	18,80364	8,118825
7,575	0,0010099004	18,86899	8,1056662
7,6	0,0010883946	19,014313	8,0938492
7,625	0,00077294861	19,270576	8,0819769
7,65	0,00098789204	19,370693	8,0695419
7,675	0,00078798714	19,409027	8,0574665
7,7	0,0010139353	19,611515	8,0449982
7,725	0,00063796737	19,776127	8,0322361
7,75	0,00090792985	19,848839	8,018898
7,775	0,0010660207	19,90766	8,0065937
7,8	0,00099302712	20,086424	7,9940443
7,825	0,00057707867	20,216915	7,9814844
7,85	0,00089545944	20,353792	7,9690776
7,875	0,00081879878	20,429951	7,9563498
7,9	0,0008844547	20,647375	7,9433236
7,925	0,0012945347	20,828579	7,9303393
7,95	0,0011001327	20,892754	7,9184217
7,975	0,0011100362	20,976616	7,9065604
8	0,00093690678	21,165586	7,8941536
8,025	0,00093947491	21,290106	7,8821177
8,05	0,00091820117	21,434464	7,8699059
8,075	0,0011995351	21,592707	7,8577275
8,1	0,00079312222	21,714954	7,8452435
8,125	0,00092370296	21,801054	7,8326602
8,15	0,00090352818	21,875105	7,8204207
8,175	0,000752775	22,036674	7,8076439
8,2	0,00098532508	22,267025	7,7955446
8,225	0,0011188395	22,315968	7,7830758
8,25	0,0011243413	22,371532	7,7706747
8,275	0,001086561	22,496864	7,7587156
8,3	0,0010861943	22,740042	7,745337
8,325	0,00081476383	22,925573	7,7332358
8,35	0,0011037998	22,994617	7,7213879
8,375	0,000872351	23,029774	7,7094731
8,4	0,0014856374	23,213104	7,6969981
8,425	0,0010132007	23,302538	7,6848774
8,45	0,00086978287	23,51446	7,6724529
8,475	0,0010462126	23,635653	7,6597438
8,5	0,0012079705	23,764883	7,6477833
8,525	0,00093874149	23,953484	7,6357703
8,55	0,00088812294	24,043732	7,6235032
8,575	0,0011250747	24,203094	7,6115246
8,6	0,00081549725	24,318287	7,5991945
8,625	0,00069408771	24,376854	7,5874844
8,65	0,00079128868	24,611963	7,575273
8,675	0,00099742878	24,715815	7,5633798
8,7	0,00082650082	24,86344	7,5513363
8,725	0,0010311741	24,91885	7,5397868
8,75	0,0010414443	25,068377	7,5278902
8,775	0,00095671485	25,192806	7,5161104
8,8	0,00089252461	25,409311	7,5039721
8,825	0,0010381439	25,495646	7,4916182
8,85	0,00070215645	25,674557	7,4802985
8,875	0,001120673	25,796492	7,4680157
8,9	0,00098569179	25,79545	7,4550991
8,925	0,00065520615	26,003428	7,4434457
8,95	0,00073443493	26,113516	7,4315901
8,975	0,00041165249	26,2852	7,4191084
9	0,0013000376	26,464451	7,4070802
9,025	0,00095378002	26,534399	7,3949857
9,05	0,00081146229	26,655033	7,3831787
9,075	0,00054920185	26,778507	7,3708382
9,1	0,00087895291	26,922274	7,3591223
9,125	0,0011049011	27,040676	7,3472996
9,15	0,0007450718	27,224421	7,3362398
9,175	0,00082099903	27,326057	7,3241887
9,2	0,0011635884	27,430628	7,3121915
