|  Kod | Kommun          |  qty | meanprice |
| 0114 | Upplands Väsby  |  189 |      4922 |
| 0115 | Vallentuna      |  315 |      4641 |
| 0117 | Österåker       |  492 |      4785 |
| 0120 | Värmdö          |  428 |      5321 |
| 0123 | Järfälla        |  366 |      5175 |
| 0125 | Ekerö           |  285 |      5528 |
| 0126 | Huddinge        |  599 |      5668 |
| 0127 | Botkyrka        |  344 |      4312 |
| 0128 | Salem           |   72 |      4968 |
| 0136 | Haninge         |  423 |      4516 |
| 0138 | Tyresö          |  313 |      5782 |
| 0139 | Upplands-Bro    |  153 |      4423 |
| 0140 | Nykvarn         |   81 |      3745 |
| 0160 | Täby            |  469 |      7546 |
| 0162 | Danderyd        |  168 |     11902 |
| 0163 | Sollentuna      |  381 |      7301 |
| 0180 | Stockholm       | 1234 |      7681 |
| 0181 | Södertälje      |  372 |      3659 |
| 0182 | Nacka           |  485 |      8350 |
| 0183 | Sundbyberg      |   52 |      7861 |
| 0184 | Solna           |   23 |      9958 |
| 0186 | Lidingö         |  227 |     11454 |
| 0187 | Vaxholm         |   71 |      7661 |
| 0188 | Norrtälje       |  534 |      2661 |
| 0191 | Sigtuna         |  212 |      4605 |
| 0192 | Nynäshamn       |  185 |      3646 |
| 0305 | Håbo            |  221 |      3612 |
| 0319 | Älvkarleby      |   88 |      1400 |
| 0330 | Knivsta         |  143 |      4280 |
| 0331 | Heby            |  146 |      1464 |
| 0360 | Tierp           |  158 |      1507 |
| 0380 | Uppsala         |  776 |      4038 |
| 0381 | Enköping        |  286 |      2978 |
| 0382 | Östhammar       |  171 |      1990 |
| 0428 | Vingåker        |   91 |      1377 |
| 0461 | Gnesta          |   96 |      2589 |
| 0480 | Nyköping        |  344 |      2739 |
| 0481 | Oxelösund       |   76 |      2196 |
| 0482 | Flen            |  136 |      1575 |
| 0483 | Katrineholm     |  235 |      1960 |
| 0484 | Eskilstuna      |  467 |      2760 |
| 0486 | Strängnäs       |  304 |      2944 |
| 0488 | Trosa           |  135 |      3489 |
| 0509 | Ödeshög         |   44 |      1060 |
| 0512 | Ydre            |   32 |       907 |
| 0513 | Kinda           |   71 |      1693 |
| 0560 | Boxholm         |   57 |      1361 |
| 0561 | Åtvidaberg      |  101 |      1762 |
| 0562 | Finspång        |  140 |      1610 |
| 0563 | Valdemarsvik    |   74 |      1295 |
| 0580 | Linköping       |  564 |      3704 |
| 0581 | Norrköping      |  536 |      3050 |
| 0582 | Söderköping     |  125 |      2583 |
| 0583 | Motala          |  304 |      2090 |
| 0584 | Vadstena        |   64 |      1931 |
| 0586 | Mjölby          |  195 |      2105 |
| 0604 | Aneby           |   72 |       977 |
| 0617 | Gnosjö          |   57 |      1182 |
| 0642 | Mullsjö         |   83 |      1614 |
| 0643 | Habo            |   86 |      2616 |
| 0662 | Gislaved        |  189 |      1166 |
| 0665 | Vaggeryd        |  124 |      1762 |
| 0680 | Jönköping       |  574 |      3515 |
| 0682 | Nässjö          |  241 |      1338 |
| 0683 | Värnamo         |  220 |      1919 |
| 0684 | Sävsjö          |   96 |      1027 |
| 0685 | Vetlanda        |  226 |      1383 |
| 0686 | Eksjö           |  124 |      1427 |
| 0687 | Tranås          |  100 |      1671 |
| 0760 | Uppvidinge      |   94 |       726 |
| 0761 | Lessebo         |   68 |       910 |
| 0763 | Tingsryd        |   91 |       881 |
| 0764 | Alvesta         |  130 |      1481 |
| 0765 | Älmhult         |  130 |      1761 |
| 0767 | Markaryd        |  102 |       857 |
| 0780 | Växjö           |  421 |      2971 |
| 0781 | Ljungby         |  178 |      1541 |
| 0821 | Högsby          |   61 |       514 |
| 0834 | Torsås          |   65 |       887 |
| 0840 | Mörbylånga      |  165 |      2348 |
| 0860 | Hultsfred       |  157 |       619 |
| 0861 | Mönsterås       |  141 |      1233 |
| 0862 | Emmaboda        |   90 |       683 |
| 0880 | Kalmar          |  375 |      2819 |
| 0881 | Nybro           |  185 |      1201 |
| 0882 | Oskarshamn      |  173 |      1748 |
| 0883 | Västervik       |  264 |      1707 |
| 0884 | Vimmerby        |   93 |      1243 |
| 0885 | Borgholm        |  113 |      2024 |
| 0980 | Gotland         |  367 |      2831 |
| 1060 | Olofström       |  126 |       867 |
| 1080 | Karlskrona      |  374 |      2246 |
| 1081 | Ronneby         |  247 |      1376 |
| 1082 | Karlshamn       |  223 |      1614 |
| 1083 | Sölvesborg      |  112 |      1643 |
| 1214 | Svalöv          |  158 |      1647 |
| 1230 | Staffanstorp    |  170 |      3353 |
| 1231 | Burlöv          |  106 |      3416 |
| 1233 | Vellinge        |  324 |      5156 |
| 1256 | Östra Göinge    |  155 |       914 |
| 1257 | Örkelljunga     |  104 |      1105 |
| 1260 | Bjuv            |  182 |      1513 |
| 1261 | Kävlinge        |  251 |      3389 |
| 1262 | Lomma           |  200 |      5237 |
| 1263 | Svedala         |  205 |      3171 |
| 1264 | Skurup          |  148 |      2338 |
| 1265 | Sjöbo           |  226 |      1496 |
| 1266 | Hörby           |  164 |      1600 |
| 1267 | Höör            |  222 |      1811 |
| 1270 | Tomelilla       |  130 |      1519 |
| 1272 | Bromölla        |  121 |      1150 |
| 1273 | Osby            |  107 |      1124 |
